Recording	Participant	Timeline	TOI	Interval	Media	AOI	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	duration		0				0			picture			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	easiness		0				0			picture			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	ingredients		6943	257	80	587	27	1532	380	picture		2,73837	6943	257	80	587	27	1532	380	2,73837	8457	2114	957	3940	4	1532	957	8620	2155	1020	3960	4	1469	1020	0			0			18	1469	4329	1240,71													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	picture		2270	206	67	480	11	416	120	picture		2,80812	2100	233	120	480	9	416	120	2,81219	2540	635	237	1053	4	416	1053	2683	671	237	1127	4	342	1127	0			0			5	342	1469	362,95													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	preparation_text		14427	209	63	437	69	9236	140	picture		2,88719	14427	209	63	437	69	9236	140	2,88719	17727	17727	17727	17727	1	9236	17727	17770	17770	17770	17770	1	9192	17770	0			0			52	9192		266,62													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	preparation_time		613	204	147	257	3	6916	257	picture		2,72121	613	204	147	257	3	6916	257	2,72121	637	318	210	427	2	6916	427	693	347	233	460	2	6882	460	0			0			1	6882	7342	254,1													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	rating		0				0			picture			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	Entire Recording	1	aufgabenstellung,braten,chili,curry,default,glasnudel,gratin,hawaii,nudelhack,pizza,semmel,spaghetti	calories		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	Entire Recording	1	aufgabenstellung,braten,chili,curry,default,glasnudel,gratin,hawaii,nudelhack,pizza,semmel,spaghetti	calories		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	Entire Recording	1	aufgabenstellung,braten,chili,curry,default,glasnudel,gratin,hawaii,nudelhack,pizza,semmel,spaghetti	calories		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	Entire Recording	1	aufgabenstellung,braten,chili,curry,default,glasnudel,gratin,hawaii,nudelhack,pizza,semmel,spaghetti	calories		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	Entire Recording	1	aufgabenstellung,braten,chili,curry,default,glasnudel,gratin,hawaii,nudelhack,pizza,semmel,spaghetti	calories		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	Entire Recording	1	aufgabenstellung,braten,chili,curry,default,glasnudel,gratin,hawaii,nudelhack,pizza,semmel,spaghetti	calories		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
